branch,loops,padding_size,existing_memory_kb,existing_status,new_memory_kb,new_status
10,2000,1600,4592436,ok,550900,ok
10,2000,1700,4773480,ok,569148,ok
10,2000,1800,4954544,ok,587256,ok
10,2000,1900,5165860,ok,608460,ok
10,2000,2000,5346744,ok,626572,ok
10,2000,2100,5528144,ok,644808,ok
10,2000,2200,5709224,ok,662920,ok
10,2000,2300,5920296,ok,684128,ok
10,2000,2400,6101268,ok,702368,ok
10,2000,2500,6282444,ok,720600,ok
10,2000,2600,6463564,ok,738704,ok
10,2000,2700,6674588,ok,759796,ok
10,2000,2800,6855540,ok,778036,ok
10,2000,2900,7036796,ok,796264,ok
10,2000,3000,7217656,ok,814388,ok
10,2000,3100,7428856,ok,835488,ok
10,2000,3200,7609856,ok,853704,ok
10,2000,3300,7790712,ok,871936,ok
10,2000,3400,7971960,ok,890164,ok
10,2000,3500,8182780,ok,911260,ok
10,2000,3600,8363824,ok,929340,ok
10,2000,3700,8544852,ok,947384,ok
10,2000,3800,8726012,ok,965832,ok
10,2000,3900,8937012,ok,986932,ok
10,2000,4000,9118172,ok,1005164,ok
10,2100,0,1621868,ok,257096,ok
10,2100,100,1844064,ok,279192,ok
10,2100,200,2034056,ok,298036,ok
10,2100,300,2255612,ok,320316,ok
10,2100,400,2445480,ok,339220,ok
10,2100,500,2635640,ok,358316,ok
10,2100,600,2825760,ok,377152,ok
10,2100,700,3047188,ok,399440,ok
10,2100,800,3237236,ok,418532,ok
10,2100,900,3426176,ok,437180,ok
10,2100,1000,3615952,ok,456400,ok
10,2100,1100,3837860,ok,478440,ok
10,2100,1200,4027948,ok,497696,ok
10,2100,1300,4218084,ok,516580,ok
10,2100,1400,4408392,ok,536008,ok
10,2100,1500,4629776,ok,557496,ok
10,2100,1600,4820032,ok,576688,ok
10,2100,1700,5010284,ok,595780,ok
10,2100,1800,5200048,ok,614848,ok
10,2100,1900,5422132,ok,636572,ok
10,2100,2000,5611792,ok,655688,ok
10,2100,2100,5801980,ok,674788,ok
10,2100,2200,5992200,ok,694040,ok
10,2100,2300,6214012,ok,715656,ok
10,2100,2400,6403848,ok,735032,ok
10,2100,2500,6593932,ok,753800,ok
10,2100,2600,6784208,ok,773008,ok
